date, title, location, link, details
14/10/2025,Building power with code and data: Tools for thriving in any environment,International Day of Women in Statistics and Data Science,https://www.idwsds.org,keynote
24/4/2025,Interactively visualizing multivariate market segmentation using the R package lionfish,Symposium in Memory of Fritz Leisch,https://github.com/dicook/Leisch_Symp_2025,Invited talk
28/3/2025,Visually exploring high-dimensional market segmentation data,DAGStat 2025,https://github.com/dicook/DAGStat_2025,Invited talk
7/11/24,New tools for visualising high-dimensional data using linear projections,"TDLee Institute, Shanghai, China",,invited talk
27/10/2024,Interactively exploring market segmentation with high-dimensional visualisation,"MPSS, Shanghai, China",https://dicook.github.io/MPSS/slides.html,invited talk
13/3/2024,A little history of GGally,"Online, ggplot2 extenders",,invited talk
12/12/23, Visually exploring local explanations to understand complex machine learning models, ASC and OZCOTS 2023, https://github.com/dicook/ASC_2023, contributed
7/12/23, New tools for visualising high-dimensional data using linear projections, IASC ARS 2023, https://github.com/dicook/IASC-ARS-2023/, keynote
20/10/2023,How do we know what we don't know?,"Montevideo, Uruguay",https://dicook.github.io/LatinR/keynote/slides.html, keynote
24/11/2022,Visually exploring local explanations to understand complex machine learning models,"Stellenbosch U., South Africa",https://github.com/dicook/Stellenbosch_2022,invited talk
29/8/2022,Myth busting and apophenia in data visualisation: Is what you see really there?,"Macquarie U., Australia",https://github.com/dicook/Macquarie_2022,invited talk
20/7/2022,A showcase of new methods for high dimensional data viewing with linear projections and sections,"IFCS '22, Porto, Portugal",https://bit.ly/IFCS22-Cook,keynote
21/6/2021,Uncertainty in data visualisation through the lens of statistical inference,Rostock Retreat on Data Visualization at the Max Planck Institute for Demographic Research,https://dicook.org/files/Rostock2021/slides.html,keynote
3/2/21,"In Visualising Data, Who Wins?","Gosset lecture, Irish Statistical Association",https://github.com/dicook/talk-gosset,named lecture
20/7/2020,The paradox of the positive: exploratory tools for visualising the individuals in (multivariate) longitudinal data,IBC 2020,https://github.com/dicook/IBC2020/,keynote
24/6/2020,"Making inference using data plots, with application to ecological statistics",vISEC 2020,https://dicook.org/files/vISEC2020/slides.html,keynote
18/9/2019,Statistics on Street Corners,"CSIRO Data61, Canberra, Australia",,invited talk
20/8/2019,Building plots to explore data," 62nd ISI World Statistics Congress,
  Kuala Lumpur, Malaysia",,contributed
14/8/2019,"Human vs computer: In Visualising Data, Who Wins?","DSSV '19, Kyoto, Japan ",https://github.com/dicook/DSSV19,keynote
30/7/2019,Give Your Statistician Colleague Iris Bulbs for Their House Warming!,"JSM 2019, Denver, Colorado",https://github.com/dicook/JSM19,invited talk
15/10/2018,"Human vs computer: when visualising data, who wins?","Belz Lecture, Statistical Society of Victoria",https://github.com/dicook/Belz-Cook,named lecture
12/9/18,Visualisation of high-dimensional spaces with application to econometric data and models,"U. Melbourne, Melbourne, Australia",,invited talk
30/7/2018,EDA: A Historical Perspective and a Path Forward,"JSM 2018, Vancouver, Canada",,invited talk
28/8/2018,Visualisation of high-dimensional particle physics,"IASCB-ASC 2018, Melbourne, Australia",https://github.com/dicook/IASC-ARS-2023,contributed
7/3/18,Myth busting and apophenia in data visualisation: is what you see really there?,"Ihaka Lecture, University of Auckland, NZ",https://github.com/dicook/Ihaka-talk,named lecture
12/2/18,Visualising high-dimensional spaces with application to particle physics models,"NUS/IMS Workshop and Tutorial on Social Networks, Singapore",https://github.com/dicook/IMS-Singapore-talk,invited lecture
2/2/18,To the Tidyverse and Beyond: Challenges for the Future in Data Science,"RStudio conference, San Diego, CA",https://github.com/dicook/RStudio-keynote,keynote
27/11/2017,Statistics on Street Corners,"Biometrics by the Border, Kingscliff, NSW",https://github.com/dicook/Biometric2017,keynote
26/9/2017,Statistics on Street Corners,"Young Statisticians Conference 2017, Coolangatta, QLD",https://github.com/dicook/YSC2017,keynote
29/7/2017,A girl geek's guide to new research on interactive data visualization for statistics with lots of data.,"JSM '17, Baltimore, MD",https://github.com/dicook/JSM17,invited talk
18/5/2017,"The Glue that Binds Statistical Inference, 
Tidy Data, Grammar of Graphics, Visual Inference","Finance, Actuarial Studies & Statistics, Australian National University, Canberra.",,invited talk
19/5/2017,"The Glue that Binds Statistical Inference, 
Tidy Data, Grammar of Graphics, Visual Inference","School of Maths and Stats, U. Sydney, ",,invited talk
3/5/17,"Accessing data and developing analysis software, to study game strategies, with examples from tennis and soccer","ACEMS Workshop: Maths and Stats for Sports Research, Brisbane, Australia.",https://github.com/dicook/ACEMS_Sports_2017,invited talk
28/11/2016,Statistics on Street Corners,"2016 Joint New Zealand Statistical Association/Operations Research Society of New Zealand Conference, Auckland, New Zealand",https://github.com/dicook/NZSAORSNZ16,keynote
25/11/2016,"The Role of Open Data, Open Source Software and Data Visualisation in Developing Quantitative Citizenship","Auckland Teachers Day, New Zealand",,invited talk
27/10/2016,Harnessing Crowd-Sourcing to Select Genes based on Effect Size Using Visual Inference Methods,"Vic Biostat, Melbourne, Australia",,invited talk
20/10/2016,Taskforce on Women in R,"Women in Statistics, Charlotte, NC",,invited talk
18/10/2016,The Role of R and Data Visualisation in Understanding Our World,"R Ladies, Melbourne, Australia",https://github.com/dicook/RLadies_Melb,invited talk
28/5/2016,Statistics on Street Corners,"International Statistics Forum, Beijing, China",,keynote
27/5/2016,Really? Using the nullabor package to learn if what we see is really there?,"China-R, Capital of Statistics, Beijing, China",https://github.com/dicook/China-R,invited talk
15/3/2016,Is what you see really there? Combining statistical inference with exploratory data analysis,"University of Melbourne, Australi",,invited talk
19/2/2016,Really? Using the nullabor package to learn if what we see is really there?,"WOMBAT 2016, Melbourne, Australia",,invited talk
8/12/15,Is what you see really there? Combining statistical inference with exploratory data analysis,"Bayes on the Beach, Surfers Paradise, Australia",,keynote
2/12/15,"Visualisation in Big Data Analysis: Constructing useful plots, using interactivity, incorporating inference","Research School of Finance, Actuarial Studies and Applied Statistics Summer Camp, Murramurang, Australia",,plenary
4/11/15,Statistical Inference by Crowd-Sourcing,"Cornell University, Ithaca, NY",,invited talk
24/9/2015,Is what you see really there?,"Big Data Visual Analytics '15, Hobart, Australia",,keynote
2/7/15,A survey of two decades of efforts to build interactive graphics capacity in R,"useR! '15. Aalborg, Denmark",https://github.com/dicook/useR.2015,keynote
29/6/2015,Eye-balling is OK again: Using an eye-tracker to see how people read data plots ,"Data meets Vis: Interactions and Interactivity, Augsburg, Germany",,invited talk
17/6/2015,Data Visualization and Statistical Graphics in Big Data Analysis,"Statistical Inference, Learning and Models for Big Data, Boot Camp, Fields Institute, Toronto, Canada",,invited talk
3/8/14,Harnessing Crowd-Sourcing to Select Genes based on Effect Size Using Visual Inference Methods,"JSM '14, Boston, MA.",,invited talk
11/7/14,Statistical Inference by Crowd-Sourcing,"ASC, Sydney, Australia",,invited talk
21/4/2014,Statistical Inference by Crowd-Sourcing,"Montana State University, Bozeman, MT",,invited talk
18/2/2014,Statistical Inference by Crowd-Sourcing,"Michigan State University, East Lansing, MI",,invited talk
4/8/13,"Big Data and R, Discussant","JSM '13, Montreal, Canada",,invited talk
10/6/13,Recent Advances in Visualization Techniques,"NCSES Digital SEQ, Washington, DC",,invited talk
18/10/2012,Statistical Inference for Data Visualization,"Carl Morris Honorary Symposium, Washington D. C.",http://www.youtube.com/watch?v=3CqQcxYMtmQ&feature=youtu.be,keynote
19/6/2012,Every Plot Must Tell a Story,"useR!  2012, Nashville, TN",,keynote
16/5/2012,ggbio: Extending the Grammar of Graphics to Genomic Data,"Interface Between Statistics and Computing Science, Houston, T",,invited talk
20/2/2012,An Overview of Statistical Inference,"Dagstuhl Information Visualization, Visual Data Mining and Machine Learning,Dagstuhl, Germany",,invited talk
13/2/2012,Overview of Biological Visualization,"ISU BCB Seminar Series, Ames, IA",,
20/10/2011,Show Me the Data,"Christian Petersen Art Museum, Morrill Hall",,
1/8/11,Visualizing Climate Change Data,"JSM 2011, Miami, FL",,
2/8/11,Introductory Overview Lecture: Statistical Graphics,"JSM 2011, Miami, FL",,invited talk
3/6/11,Exploring Dose Response Data and Repeated Measures Data Using Interactive Graphics,"SCVMMI, Dubuque, IA",,invited talk
22/8/2011,Statistical Inference for Visual Methods,"International Indian Statistical Association, Raleigh, NC",,invited talk
