date, title, location, link, details
24/10/2025,Publishing your software,"NUMBAT workshop, SSA SCV",https://dicook.github.io/tutorial-publishing-your-software/,3 hours
29/09/2025,Visualising Uncertainty,WOMBAT 2025,https://numbat-tutorials.github.io/tutorial_visualising_uncertainity/,3 hours
20/06/2025,Take a data plot and make it better,"NUMBAT workshop, SSA SCV",https://dicook.github.io/tutorial_make_better_data_plots/,3 hours
22/10/2024, Creating effective data plots,WOMBAT 2024,https://wombat2024.numbat.space/tutorial_PM3.html,3 hours
24/07/2025,SISBID 2015-2025 Module 2: Visualization of Biomedical Big Data,Virtual,https://dicook.github.io/SISBID/,"2.5 days, annually"
8/7/24,Visualising High-dimensional Data with R,"useR! 2024, Salzburg", https://dicook.github.io/mulgar_tutorial/, 3 hours
26/3/2024,Visualising High-dimensional Data with R," SSA SCV, online", https://statsocaus.github.io/tutorial_highd_vis/, 3 hours
2/12/23, Creating data plots for effective decision-making using statistical inference with R," SSA SCV, online", https://statsocaus.github.io/tutorial_effective_data_plots/,3 hours
19/10/2023,Creating data plots for effective decision-making using statistical inference with R,"Montevideo, Uruguay",https://dicook.github.io/LatinR,3 hours
28/11/2022,Visual methods for multivariate data - a journey beyond 3D,"SASA 2022, George, South Africa",https://github.com/dicook/MDAG_2022,3 hours
23/6/2020,"Going beyond 2D and 3D to visualise higher dimensions, for ordination, clustering and other models",vISEC 2020,https://dicook.org/files/vISEC20/slides_tourr.html,3 hours
